id,title,comprehension_questions,asset_path
1,Adhabu,,goa/Resources/res/story/swa/Adhabu_Punishment/
2,Adie na Adhoch,,goa/Resources/res/story/swa/Adie_na_adhoch/
3,Adun mrembo,,goa/Resources/res/story/swa/Adun/
4,Adun mrembo,,goa/Resources/res/story/swa/Adun_the_beautiful/
5,Ah! Mpira!,,goa/Resources/res/story/swa/Ah_Mpira_Ah_Football/
6,Ajali mbaya,,goa/Resources/res/story/swa/Ajali_mbaya_Serious_accident/
7,Akai amefurahi,,goa/Resources/res/story/swa/Akai_amefurahi/
8,Akai amefurahi,,goa/Resources/res/story/swa/Akai_amefurahi_Happy_Akai/
9,"Anansi, Kunguru na Mamba",,goa/Resources/res/story/swa/Anansi_Kunguru_na_Mamba_Anansi_the_crows/
10,Anansi awapa watu hadithi,,goa/Resources/res/story/swa/Anansi_awapa_watu_hadithi/
11,Anansi awapa watu hadithi,,goa/Resources/res/story/swa/Anansi_awapa_watu_hadithi_Anansi_gives_people_stor/
12,Anansi na Hekima,,goa/Resources/res/story/swa/Anansi_na_Hekima_Anansi/
13,Anansi na Hekima,,goa/Resources/res/story/swa/Anansi_na_Hekima_Anansi_and_Wisdom/
14,Anansi na Tai,,goa/Resources/res/story/swa/Anansi_na_Tai_Anansi/
15,Barua kwa mama,,goa/Resources/res/story/swa/Barua_kwa_mama/
16,Barua kwa mama,,goa/Resources/res/story/swa/Barua_kwa_mama_Letter_to_mum/
17,Basi kubwa la bluu,,goa/Resources/res/story/swa/Basi_kubwa_la_bluu_Big_blue_bus/
18,Bi Simu,,goa/Resources/res/story/swa/Bi_Simu/
19,Binti wa Mflame Kayanja,,goa/Resources/res/story/swa/Binti_wa_Mflame_Kayanja/
20,Bunty na Bubbly,,goa/Resources/res/story/swa/Bunty_and_Bubbly/
21,Demane na Demazane,,goa/Resources/res/story/swa/Demane_and_Demazane/
22,Fahali na Punda,,goa/Resources/res/story/swa/Fahali_na_Punda/
23,Fisi mlafi,,goa/Resources/res/story/swa/Fisi_mlafi/
24,Fisi na Kobe,,goa/Resources/res/story/swa/Fisi_na_Kobe/
25,Hadithi kumhusu Wangari Maathai,,goa/Resources/res/story/swa/Hadithi_kumhusu_Wangari_Maathai/
26,Jimbi na Sungura,,goa/Resources/res/story/swa/Jimbi_na_Sungura/
27,Jinsi Anansi alivyopata miguu minane myembamba,,goa/Resources/res/story/swa/Jinsi_Anansi_alivyopata_miguu_minane_myembamba/
28,Jinsi usiku ulivyoingia kijiji cha Opio,,goa/Resources/res/story/swa/Jinsi_usiku_ulivyoingia_kijiji_cha/
29,Jumamosi alasiri,,goa/Resources/res/story/swa/Jumamosi_alasiri/
30,"Kalabushe, chiriku",,goa/Resources/res/story/swa/Kalabushe_chiriku/
31,Kato Mwakili na Shida Kubwa,,goa/Resources/res/story/swa/Kato_Mwakili_na_Shida_Kubwa/
32,Khalai aizungumzia Mimea,,goa/Resources/res/story/swa/Khalai_azungumzia_mimea/
33,Khalai aizungumzia Mimea,,goa/Resources/res/story/swa/Khalai_azungumzia_mimea_Khalai_talks/
34,Kijana Palinyang’,,goa/Resources/res/story/swa/Kijana_Palinyang_Young_Palinyang/
35,Kima apoteza mkia wake,,goa/Resources/res/story/swa/Kima_apoteza_mkia_wake/
36,Kima apoteza mkia wake,,goa/Resources/res/story/swa/Kima_apoteza_mkia_wakeMonkey/
37,"Kisirusiru, mjinga",,goa/Resources/res/story/swa/Kisirusiru_mjinga/
38,"Kisirusiru, mjinga",,goa/Resources/res/story/swa/Kisirusiru_mjinga_Kisirusiru/
39,Kuwahesabu Wanyama,,goa/Resources/res/story/swa/Kuhesabu_wanyama/
40,Kuwahesabu Wanyama,,goa/Resources/res/story/swa/Kuhesabu_wanyama_Counting/
41,Kuku na Jongoo,,goa/Resources/res/story/swa/Kuku_na_Jongoo/
42,Kutekwa nyara!,,goa/Resources/res/story/swa/Kutekwa_nyara/
43,Kwa nini Yayeri ni mashuhuri?,,goa/Resources/res/story/swa/Kwa_nini_Yayeri_ni_mashuhuri/
44,Magozwe,,goa/Resources/res/story/swa/Magozwe/
45,Mama abadilika,,goa/Resources/res/story/swa/Mama_abadilika/
46,Mamangu alipanda,,goa/Resources/res/story/swa/Mamangu_alipanda/
47,Mamba mwenye njaa,,goa/Resources/res/story/swa/Mamba_mwenye_njaa/
48,Mamba mwenye njaa,,goa/Resources/res/story/swa/Mamba_mwenye_njaa_The_hungry_crocodile/
49,"Mbuzi, Mbwa na Ng’ombe",,goa/Resources/res/story/swa/Mbuzi_Mbwa_na_Ng_ombe/
50,Mbwa na Mamba,,goa/Resources/res/story/swa/Mbwa_na_Mamba/
51,Mbweha na jua,,goa/Resources/res/story/swa/Mbweha_na_jua/
52,Meno aina gani?,,goa/Resources/res/story/swa/Meno_aina_gani/
53,Mimi na familia yangu,,goa/Resources/res/story/swa/Mimi_na_familia_yangu/
54,Mke Mti,,goa/Resources/res/story/swa/Mke_Mti/
55,Mpira wangu mwekundu,,goa/Resources/res/story/swa/Mpira_wangu_mwekundu/
56,Mpira wangu mwekundu,,goa/Resources/res/story/swa/Mpirawangumwekundu/
57,Mtende,,goa/Resources/res/story/swa/Mtende/
58,Mtoto aliyeleta Amani,,goa/Resources/res/story/swa/Mtoto_aliyeleta_amani/
59,Mtoto wa Tembo Mdadisi,,goa/Resources/res/story/swa/Mtoto_wa_Tembo_Mdadisi/
60,Mtu na Simba,,goa/Resources/res/story/swa/Mtu_na_Simba/
61,Mwanamme mrefu,,goa/Resources/res/story/swa/Mwanamme_mrefu/
62,Mwanamme na Mwanamke wa Kwanza,,goa/Resources/res/story/swa/Mwanamme_na_Mwanamke_wa_Kwanza/
63,Mwezi na Kofia,,goa/Resources/res/story/swa/Mwezi_na_Kofia/
64,Nausikiliza mwili wangu,,goa/Resources/res/story/swa/Nausikiliza_mwili_wangu/
65,Ndovu na vyura,,goa/Resources/res/story/swa/Ndovu_na_vyura/
66,Ng'ombe mwenye pembe moja,,goa/Resources/res/story/swa/Ng_ombe_mwenye_pembe_moja/
67,Ng’ombe wetu Pendo,,goa/Resources/res/story/swa/Ng_ombe_wetu_Pendo/
68,Ninapenda kusoma,,goa/Resources/res/story/swa/Ninapenda_kusoma/
69,Panya,,goa/Resources/res/story/swa/Panya/
70,Rafiki ninayemkosa,,goa/Resources/res/story/swa/Rafiki_ninayemkosa/
71,Rangi za upinde,,goa/Resources/res/story/swa/Rangi_za_upinde/
72,Sababu Chura kuwa na Sura Mbaya,,goa/Resources/res/story/swa/Sababu_Chura_kuwa_na_Sura_Mbaya/
73,Sayari Jua ya Saba,,goa/Resources/res/story/swa/Sayari_Jua_ya_Saba/
74,Hamisi abahatika,,goa/Resources/res/story/swa/Shati_la_kijani_kibichi/
75,Siafu amwokoa Njiwa,,goa/Resources/res/story/swa/Siafu_amwokoa_Njiwa/
76,Siku ambayo Jua lilipotea,,goa/Resources/res/story/swa/Siku_ambayo_Jua_lilipotea/
77,Siku tuliyouona upinde,,goa/Resources/res/story/swa/Siku_tuliyouona_upinde_Day_we_saw_the_rainbow/
78,Sungura mjanja,,goa/Resources/res/story/swa/Sungura_mjanja_Hare_the_trickster/
79,Teksi ya Nanu,,goa/Resources/res/story/swa/Teksi_ya_Nanu_Nanu_s_taxi/
80,Uji,,goa/Resources/res/story/swa/Uji_Milk_is_good/
81,Unafanya nini?,,goa/Resources/res/story/swa/Unafanya_nini_What_are_you_doing/
82,Upepo,,goa/Resources/res/story/swa/Upepo_Wind/
83,Usiku unaingia kijijini,,goa/Resources/res/story/swa/Usiku_unaingia_kijijini/
84,"Vayu, Upepo",,goa/Resources/res/story/swa/Vayu_Upepo_Vayu_the_wind/
85,Vitu ninavyojua,,goa/Resources/res/story/swa/Vitu_ninavyojua_Things_I_know/
86,Wapi kigoe changu?,,goa/Resources/res/story/swa/Wapi_kigoe_changu_Where_is_my_bat/
87,Watoto wa Nta,,goa/Resources/res/story/swa/Watoto_wa_Nta_Children_of_wax/
88,Hadithi kumhusu Wangari Maathai,,goa/Resources/res/story/swa/hadithi_kumhusu_wangari/
89,Jinsi Anansi alivyopata miguu minane myembamba,,goa/Resources/res/story/swa/jinsi_anansi_alivyopata/
90,Jinsi usiku ulivyoingia kijiji cha Opio,,goa/Resources/res/story/swa/jinsi_usiku_ulivyoingia/
